INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality
Allantoin,Allantoin,Functional,Soothing,0.1,0.5,2,Skin protectant; Soothing; Keratoplastic,Keratoplastic,,4.0-7.0,Stable,Low,0.0,Safe,Limited,1-3 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,,Moderate
N-Acetyl Glucosamine,NAG,Active,Brightening,2,4,6,Brightening; Melanin transfer inhibition,Melanin transfer inhibition,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-12 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Tranexamic Acid Cetyl Ester,TXA ester,Active,Brightening,0.3,1,3,Brightening; Enhanced skin penetration,Enhanced skin penetration,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.75,Niacinamide,,Limited data,Limited,0.4,0.3,,,,Limited clinical evidence
Niacinamide Ascorbate,Vitamin B3 + C complex,Active,Brightening;Antioxidant,1,3,5,Brightening; Barrier Support; Antioxidant,Synergistic antioxidant action,Pigmentation; Dullness; Barrier Repair; UV Damage; Aging & Fine Lines,5.0-6.0,Moderate stability,Low,0.0,Safe,Moderate,6-10 weeks,0.75,Ferulic Acid,Low pH acids,Stability dependent,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence
Ascorbyl Glucoside,Vitamin C derivative,Active,Brightening;Antioxidant,2,5,10,Brightening; Antioxidant; Enzymatic conversion to AA,Enzymatic conversion to AA,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.5-7.0,Very stable,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Niacinamide,,Slower results,Moderate,0.7,0.4899999999999999,,,,Moderate
3-O-Ethyl Ascorbic Acid,Ethylated Vitamin C,Active,Brightening,1,3,5,Brightening; Antioxidant,Direct antioxidant,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Ferulic Acid,,Overpricing risk,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Magnesium Ascorbyl Phosphate,MAP,Active,Brightening;Antioxidant,3,5,10,Brightening; Antioxidant; Phosphatase conversion,Phosphatase conversion,Pigmentation; Acne & Oily Skin; Dullness; UV Damage; Aging & Fine Lines,6.0-7.5,Highly stable,Low,0.0,Safe,Moderate,8-12 weeks,0.75,Niacinamide,Low pH acids,Slow activation,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence
Sodium Ascorbyl Phosphate,SAP,Active,Brightening;Anti-acne,1,3,5,Anti-acne; Brightening; Antimicrobial,Antimicrobial,Pigmentation; Acne & Oily Skin; Dullness,6.0-7.0,Highly stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Zinc PCA,Low pH acids,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Retinal,Retinaldehyde,Active,Retinoid,0.05,0.1,0.3,Anti-aging; Anti-acne; Retinoid; RAR activation (indirect),RAR activation (indirect),Aging & Fine Lines; Acne & Oily Skin,5.0-6.0,Light sensitive,High,1.0,Avoid pregnancy,Limited,6-10 weeks,0.95,Niacinamide,Benzoyl Peroxide,Irritation risk,Strong,1.0,0.38,,,,Limited clinical evidence
Hydroxypinacolone Retinoate,HPR,Active,Ester retinoid,0.1,0.3,1,Anti-aging; Ester retinoid; RAR binding,RAR binding,Aging & Fine Lines,5.0-7.0,Light sensitive,Medium,1.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Peptides,Strong acids,Marketing exaggeration,Limited,0.4,0.34,,,,Limited clinical evidence
Bakuchiol,Bakuchiol,Active,Retinol-like,0.5,1,2,Anti-aging; Retinol-like; Gene expression modulation,Gene expression modulation,Aging & Fine Lines,5.0-7.0,Light stable,Low,0.0,Safe,Limited,8-12 weeks,0.7,Niacinamide,,Retinol-equivalent claims,Limited,0.4,0.28,,,,Moderate
Azelaoyl Diglycinate,PAD,Active,Sebum control,3,5,10,Oil balance; Anti-acne; Azelaic derivative action,Azelaic derivative action,Redness; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence
Lipochroman-6,Dimethylmethoxy Chromanol,Active,Antioxidant,0.05,0.1,0.5,Anti-aging; Antioxidant,Broad-spectrum antioxidant,Aging & Fine Lines; UV Damage,4.0-7.0,Very stable,Low,0.0,Safe,Moderate,4-8 weeks,0.85,Vitamin C;E,,Premium pricing,Moderate,0.7,0.595,,,,Moderate clinical evidence
Astaxanthin,Astaxanthin,Active,Antioxidant,0.01,0.05,0.2,Anti-aging; Antioxidant; Carotenoid quenching,Carotenoid quenching,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.9,Vitamin E,,Color staining risk,Moderate,0.7,0.63,,,,Moderate clinical evidence
Coenzyme Q10,Ubiquinone,Active,Antioxidant,0.1,0.5,1,Anti-aging; Antioxidant; Mitochondrial electron transport,Mitochondrial electron transport,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Overpricing risk,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,,Moderate clinical evidence
Idebenone,Hydroxydecyl Ubiquinone,Active,Antioxidant,0.05,0.5,1,Anti-aging; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,6-10 weeks,0.85,Vitamin C,,Marketing exaggeration,Moderate,0.7,0.595,,Primary Antioxidant Support,,Moderate clinical evidence
Alpha-Lipoic Acid,Thioctic Acid,Active,Antioxidant,0.1,0.5,1,Anti-aging; Antioxidant; Redox cycling,Redox cycling,Aging & Fine Lines; Acne & Oily Skin; UV Damage,3.0-4.0,Unstable,Medium,1.0,Safe,Moderate,4-8 weeks,0.75,Vitamin C,Retinoids,Irritation risk,Moderate,0.7,0.5249999999999999,,,,Moderate clinical evidence
Glutathione,Glutathione,Active,Brightening;Antioxidant,0.1,0.5,2,Brightening; Antioxidant; Melanin pathway modulation,Melanin pathway modulation,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,Stability issues,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,,Moderate
Cysteamine HCl,Cysteamine Hydrochloride,Active,Brightening,5,5,5,Melasma treatment; Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,7.0-8.0,Odor instability,High,0.0,Avoid pregnancy,Limited,8-16 weeks,0.9,Moisturizers,Acids,Odor; irritation,Limited,0.4,0.36,,,,Limited clinical evidence
Thiamidol,Isobutylamido Thiazolyl Resorcinol,Active,Brightening,0.1,0.2,0.2,Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,5.0-6.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.9,Niacinamide,,Proprietary cost,Limited,0.4,0.36,,,,Limited clinical evidence
Dipotassium Glycyrrhizate,Licorice salt,Active,Soothing;Brightening,0.1,0.5,2,Soothing; Brightening,Anti-inflammatory,Sensitive Skin; Redness; Pigmentation; Dullness,4.5-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence
Glycyrrhiza Glabra Root Extract,Licorice extract,Active,Brightening;Soothing,0.5,1,3,Brightening; Soothing; Glabridin activity,Glabridin activity,Pigmentation; Redness; Dullness,4.5-7.0,Stable,Low,1.0,Safe,Limited,6-10 weeks,0.8,Vitamin C,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Artemisia Capillaris Extract,Mugwort extract,Active,Soothing,0.5,1,3,Soothing,Anti-inflammatory flavonoids,Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.75,Centella Extract,,,Limited,0.4,0.3,,,,Limited clinical evidence
Propanediol,"1,3-Propanediol",Functional,Solvent;Humectant,1,5,20,Hydration; Solvent; Solvent action,Solvent action,Hydration,3.0-10.0,Stable,Low,0.0,Safe,Limited,?,0.45,Glycerin,,,Moderate,0.7,0.18,,,,Moderate
Saccharomyces Ferment Filtrate,Galactomyces-like ferment,Active,Ferment;Brightening,1,3,5,Brightening; Ferment; Postbiotic signaling,Postbiotic signaling,Dullness; Uneven Texture; Pigmentation,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence
Galactomyces Ferment Filtrate,Pitera-like ferment,Active,Ferment;Sebum balance,1,5,10,Glow; Oil Control; Ferment; Anti-acne; Yeast metabolites,Yeast metabolites,Dullness; Acne & Oily Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,,Overclaim risk,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Bifida Ferment Lysate,Probiotic lysate,Active,Barrier repair,1,5,10,Resilience; Barrier Support,DNA repair signaling,Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.85,Ceramides,,Marketing-heavy,Limited,0.4,0.34,,,,Limited clinical evidence
Lactobacillus Ferment Lysate,Postbiotic,Active,Soothing;Barrier,1,3,8,Soothing; Barrier Support; Microbiome support,Microbiome support,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Leuconostoc/Radish Root Ferment Filtrate,Natural preservative ferment,Functional,Preservative;Soothing,2,4,10,Preservation; Preservative; Soothing; Antimicrobial peptides,Antimicrobial peptides,,4.0-7.0,Stable,Low,0.0,Safe,Limited,?,0.3,Glycerin,,Weak preservation alone,Limited,0.4,0.12,,,,Moderate
Pseudoalteromonas Ferment Extract,Antarctic ferment,Active,Anti-aging;Repair,0.1,0.5,2,Anti-aging; Barrier Support; Cryoprotective proteins,Cryoprotective proteins,Aging & Fine Lines; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.85,Peptides,,Premium pricing,Limited,0.4,0.34,,,,Limited clinical evidence
Alteromonas Ferment Extract,Marine ferment,Active,Soothing,0.5,1,3,Soothing; Exopolysaccharides,Exopolysaccharides,Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Tremella Fuciformis Polysaccharide,Snow mushroom extract,Active,Humectant,0.1,0.5,2,Hydration; Polysaccharide water binding,Polysaccharide water binding,Hydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.65,Hyaluronic Acid,,,Limited,0.4,0.26,,,,Moderate
Pullulan,Pullulan,Functional,Film former,0.1,1,5,Skin tightening; Film former; Polysaccharide film,Polysaccharide film,,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.4,Humectants,,Temporary effect,Limited,0.4,0.16,,,,Moderate
Biosaccharide Gum-1,Fucose polymer,Active,Soothing;Hydrating,0.1,1,5,Hydration; Soothing; Hydrating; Bioadhesive polymer,Bioadhesive polymer,Hydration; Sensitive Skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.7,Panthenol,,,Limited,0.4,0.28,,,,Moderate
Sodium Hyaluronate Crosspolymer,Crosslinked HA,Active,Long-term hydration,0.05,0.2,1,Hydration; Reservoir effect,Reservoir effect,Hydration,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.75,Ceramides,,,Limited,0.4,0.3,,,,Limited clinical evidence
Polyquaternium-51,Phospholipid polymer,Functional,Barrier mimetic,0.1,0.5,2,Barrier Support; Cell-mimetic polymer,Cell-mimetic polymer,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.8,Ceramides,,,Limited,0.4,0.3200000000000001,,,,Moderate
Niacinamide Ferulate,Vitamin B3 + Ferulic complex,Active,Antioxidant;Brightening,1,3,5,Brightening; Antioxidant,Synergistic antioxidant stabilization,Pigmentation; Dullness; UV Damage; Aging & Fine Lines,5.0-6.5,Stable,Low,0.0,Safe,Moderate,6-10 weeks,0.8,Vitamin C derivatives,Strong acids,Limited adoption,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence
Sodium Retinoyl Hyaluronate,Retinoid-HA complex,Active,Anti-aging,0.01,0.05,0.1,Anti-aging; Controlled retinoid release,Controlled retinoid release,Aging & Fine Lines,5.0-7.0,Light sensitive,Medium,0.0,Avoid pregnancy,Limited,8-12 weeks,0.85,Niacinamide,Benzoyl Peroxide,Premium pricing,Limited,0.4,0.34,,,,Limited clinical evidence
Hydroxystearic Acid,12-Hydroxystearic acid,Functional,Structurant,0.2,1,3,Exfoliation / Texture; Structurant; Gel network formation,Gel network formation,Uneven Texture,4.0-8.0,Stable,Low,1.0,Safe,Limited,?,0.3,Oils,,,Limited,0.4,0.12,,,,Moderate
Polyhydroxybutyrate,Biopolymer,Functional,Film former,0.1,0.5,2,Skin smoothing; Film former; Biodegradable polymer,Biodegradable polymer,Uneven Texture,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.45,Humectants,,Emerging data,Limited,0.4,0.18,,,,Moderate
Gluconolactone,PHA,Active,Gentle exfoliant,2,5,10,Exfoliation / Texture; Gentle exfoliant; Chelation; desquamation,Chelation;desquamation,Sensitive Skin; Uneven Texture,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Niacinamide,Strong acids,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Lactobionic Acid,PHA,Active,Exfoliant;Humectant,2,4,8,Glow; Hydration; Exfoliant; Chelation; Antioxidant,Chelation;antioxidant,Dullness; Hydration; Sensitive Skin; UV Damage; Aging & Fine Lines,3.5-4.5,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Ceramides,Strong acids,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Mandelic Acid,AHA,Active,Exfoliant,5,10,15,Anti-acne; Exfoliation / Texture; Exfoliant; Keratolysis,Keratolysis,Acne & Oily Skin; Uneven Texture,3.5-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,Retinoids,,Limited,0.4,0.3,,,,Limited clinical evidence
Succinic Acid,Succinic acid,Active,Anti-acne,0.5,2,5,Oil Control; Anti-acne; Antimicrobial,Antimicrobial,Acne & Oily Skin,4.0-6.0,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.7,Niacinamide,,Emerging data,Limited,0.4,0.28,,,,Moderate
Zinc Gluconate,Zinc salt,Active,Anti-acne,0.1,1,3,Inflammation reduction; Anti-acne,Sebum modulation,Redness; Acne & Oily Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.75,Niacinamide,,,Limited,0.4,0.3,,,,Limited clinical evidence
Copper PCA,Copper salt,Active,Sebum regulation,0.05,0.2,1,Oil balance; Anti-acne; Enzyme modulation,Enzyme modulation,Acne & Oily Skin,5.0-7.0,Stable,Low,1.0,Safe,Limited,4-8 weeks,0.7,Zinc PCA,,,Limited,0.4,0.28,,,,Moderate
Magnesium PCA,Magnesium salt,Functional,Hydration,0.1,0.5,2,NMF support; Hydration,Mineral hydration,Hydration,5.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.55,Sodium PCA,,,Limited,0.4,0.22,,,,Moderate
Silica,Silicon dioxide,Functional,Absorbent;Texture enhancer,0.5,3,10,Oil Control; Absorbent; Exfoliation / Texture; Anti-acne,Sebum absorption,Uneven Texture; Acne & Oily Skin,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,?,0.4,Starch,,Mattifying only,Limited,0.4,0.16,,,,Moderate
Mica,Mica,Functional,Optical modifier,0.5,2,10,Instant glow; Optical modifier; Light reflection,Light reflection,Dullness,3.0-10.0,Highly stable,Low,1.0,Safe,Limited,?,0.2,Titanium Dioxide,,Cosmetic-only effect,Limited,0.4,0.08,,,,Moderate
Titanium Dioxide,TiO2,Active,UV filter;Pigment,2,5,25,Photoprotection; Brightening,Physical UV scattering,Pigmentation; Aging & Fine Lines; Dullness; UV Damage,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Zinc Oxide,,Nano concern (inhalation),Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Limited clinical evidence
Zinc Oxide,ZnO,Active,UV filter;Soothing,2,10,25,Photoprotection; Soothing,Physical UV reflection,Sensitive Skin; UV Damage; Aging & Fine Lines,6.0-8.0,Photostable,Low,1.0,Safe topical,Limited,Immediate,1.0,Titanium Dioxide,,White cast,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Limited clinical evidence
Diethylamino Hydroxybenzoyl Hexyl Benzoate,Uvinul A Plus,Active,UVA filter,1,5,10,Photoprotection,UVA absorption,Aging & Fine Lines; UV Damage,6.0-8.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.95,Octocrylene,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Ethylhexyl Triazone,Uvinul T150,Active,UVB filter,1,3,5,Photoprotection,UVB absorption,UV Damage; Aging & Fine Lines,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,0.95,UVA filters,,EU-only,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,Tinosorb S,Active,Broad-spectrum UV,1,5,10,Photoprotection; Broad-spectrum absorption,Broad-spectrum absorption,Aging & Fine Lines; UV Damage,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb M,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Methylene Bis-Benzotriazolyl Tetramethylbutylphenol,Tinosorb M,Active,Broad-spectrum UV,1,5,10,Photoprotection; Hybrid absorption/scattering,Hybrid absorption/scattering,Aging & Fine Lines; UV Damage,6.0-8.0,Extremely stable,Low,0.0,Safe,Limited,Immediate,1.0,Tinosorb S,,EU-only,Limited,0.4,0.4,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Octocrylene,Octocrylene,Active,UVB filter,2,7,10,Photoprotection,UV absorption,UV Damage; Aging & Fine Lines,6.0-8.0,Photostable,Medium,2.0,Safe limits,Limited,Immediate,0.9,Avobenzone,,Sensitization risk,Limited,0.4,0.36,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Butyl Methoxydibenzoylmethane,Avobenzone,Active,UVA filter,2,3,5,Photoprotection,UVA absorption,Aging & Fine Lines; UV Damage,6.0-7.5,Photounstable alone,Medium,1.0,Safe,Limited,Immediate,0.9,Octocrylene,,Needs stabilizer,Limited,0.4,0.36,,,,Moderate
Homosalate,Homosalate,Active,UVB filter,5,10,15,Photoprotection,UV absorption,UV Damage; Aging & Fine Lines,6.0-8.0,Stable,Medium,2.0,Restricted regions,Limited,Immediate,0.7,Octocrylene,,Regulatory scrutiny,Limited,0.4,0.28,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Octisalate,Ethylhexyl Salicylate,Active,UVB filter,3,5,10,Photoprotection,UV absorption,UV Damage; Aging & Fine Lines,6.0-8.0,Stable,Low,1.0,Safe,Limited,Immediate,0.8,Avobenzone,,,Limited,0.4,0.3200000000000001,,,,Moderate
Ensulizole,Phenylbenzimidazole Sulfonic Acid,Active,UVB filter,1,3,4,Photoprotection,UV absorption,UV Damage; Aging & Fine Lines,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.8,Avobenzone,,Water soluble,Limited,0.4,0.3200000000000001,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Drometrizole Trisiloxane,Mexoryl XL,Active,UVA/UVB filter,2,5,10,Photoprotection,UV absorption,Aging & Fine Lines; UV Damage,6.0-8.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.95,Mexoryl SX,,EU-only,Limited,0.4,0.38,,,,Moderate
Ecamsule,Mexoryl SX,Active,UVA filter,1,3,10,Photoprotection,UV absorption,Aging & Fine Lines; UV Damage,6.0-7.5,Stable,Low,0.0,Safe,Limited,Immediate,0.95,Mexoryl XL,,Limited regions,Limited,0.4,0.38,Primary UV Filter,Primary UV Block,Primary UV Block,Moderate
Polypodium Leucotomos Extract,Fern extract,Active,Photoprotection,0.5,1,3,Photoprotection; Antioxidant,Antioxidant,Aging & Fine Lines; UV Damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Sunscreens,,Adjunct only,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Niacinamide Salicylate,B3 + Salicylate,Active,Anti-acne,1,3,5,Oil Control; Anti-acne; Soothing,Anti-inflammatory,Acne & Oily Skin,5.0-6.5,Stable,Low,0.0,Safe,Limited,4-6 weeks,0.75,Zinc PCA,,Limited data,Limited,0.4,0.3,,,,Limited clinical evidence
Capryloyl Salicylic Acid,LHA,Active,Exfoliant,0.1,0.3,1,Pore Care; Exfoliant; Lipophilic keratolysis,Lipophilic keratolysis,Uneven Texture; Acne & Oily Skin; Large Pores,3.5-4.5,Stable,Medium,1.0,Safe,Limited,4-8 weeks,0.85,Niacinamide,Retinoids,Irritation risk,Limited,0.4,0.34,,,,Limited clinical evidence
Hexylresorcinol,Hexyl resorcinol,Active,Brightening,0.1,0.5,1,Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.8,Niacinamide,,,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
Phenylethyl Resorcinol,377,Active,Brightening,0.1,0.5,1,Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,4.5-6.5,Stable,Low,0.0,Safe,Limited,6-10 weeks,0.85,Tranexamic Acid,,Premium pricing,Limited,0.4,0.34,,,,Limited clinical evidence
Dihydroxyacetone,DHA,Active,Self-tanner,1,5,10,Temporary tan; Self-tanner; Maillard reaction,Maillard reaction,,4.0-5.5,Heat sensitive,Medium,0.0,Safe,Limited,Immediate,0.3,Erythrulose,,Streaking risk,Limited,0.4,0.12,,,,Moderate
Erythrulose,Erythrulose,Active,Self-tanner,1,3,7,Natural-looking tan; Self-tanner; Maillard reaction (slow),Maillard reaction (slow),,4.0-5.5,Heat sensitive,Low,0.0,Safe,Limited,24-72 hours,0.35,Dihydroxyacetone,,Patchiness risk,Limited,0.4,0.14,,,,Moderate
Caffeine,Caffeine,Active,De-puffing;Antioxidant,0.1,0.3,1,De-puffing; Antioxidant; Vasoconstriction,Vasoconstriction,Dark Circles; UV Damage; Aging & Fine Lines,4.5-7.0,Stable,Low,1.0,Safe,Moderate,2-4 weeks,0.65,EGCG,,Temporary effect,Moderate,0.7,0.455,,,,Moderate
EGCG,Epigallocatechin Gallate,Active,Antioxidant;Anti-inflammatory,0.1,0.5,1,Soothing; Antioxidant; NF-kB inhibition,NF-kB inhibition,Redness; Acne & Oily Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,4-8 weeks,0.8,Caffeine,,Stability issues,Moderate,0.7,0.5599999999999999,,,,Moderate clinical evidence
Niacinamide PCA,Niacinamide + PCA salt,Active,Hydration;Barrier,1,3,5,Barrier Support; Hydration; NMF enhancement,NMF enhancement,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.7,Ceramides,,Limited adoption,Limited,0.4,0.28,,,,Limited clinical evidence
Sodium DNA,Deoxyribonucleic acid sodium salt,Active,Repair;Hydration,0.05,0.2,1,Skin regeneration; Barrier Support; Hydration; Cell signaling support,Cell signaling support,Hydration; Barrier Repair,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Peptides,,Emerging data,Limited,0.4,0.3200000000000001,,,,Limited clinical evidence
PDRN,Polydeoxyribonucleotide,Active,Regenerative,0.1,0.5,2,Barrier Support; Regenerative; A2 receptor activation,A2 receptor activation,Aging & Fine Lines; Barrier Repair; Acne & Oily Skin,6.0-7.5,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Peptides,Acids,Injectable-origin bias,Moderate,0.7,0.36,,,,Moderate clinical evidence (mostly procedure-based RCTs)
Sh-Oligopeptide-1,EGF (recombinant),Active,Growth factor,0.0001,0.001,0.01,Cell renewal; Growth factor; EGFR activation,EGFR activation,Aging & Fine Lines,6.0-7.0,Heat sensitive,Low,0.0,Avoid pregnancy caution,Limited,4-8 weeks,0.9,Panthenol,Acids,Cost inflation,Limited,0.4,0.36,,,,Small cosmetic studies; limited independent long-term data
